Id,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,GarageAge,HouseAge,Total_area,Has_fireplace,Total_Bath,price,MSZoning,Alley,LotShape,LandContour,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,Electrical,KitchenQual,FireplaceQu,GarageType,GarageFinish,PavedDrive,PoolQC,Fence,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars
11,11200,1965,1965,906,1040,1040,0,1040,384,0,0,43.0,43,12624.0,0,1,129500,RL,No value,Reg,Lvl,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,Rec,Ex,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,No value,WD,Normal,20,5,5,1,1,0,3,5,0,1
12,11924,2005,2006,998,1175,1182,1142,2324,736,147,21,1.0,1,15270.0,1,3,345000,RL,No value,IR1,Lvl,1Fam,2Story,Hip,WdShing,Wd Shng,Stone,Ex,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,Gd,BuiltIn,Fin,Y,No value,No value,New,Partial,60,9,5,1,3,0,4,11,2,3
13,12968,1962,1962,737,912,912,0,912,352,140,0,46.0,46,14232.0,0,1,144000,RL,No value,IR2,Lvl,1Fam,1Story,Hip,HdBoard,Plywood,None,TA,CBlock,TA,TA,No,ALQ,TA,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,No value,WD,Normal,20,5,6,1,1,0,2,4,0,1
14,10652,2006,2007,0,1494,1494,0,1494,840,160,33,1.0,1,13292.0,1,2,279500,RL,No value,IR1,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,Av,Unf,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,New,Partial,20,7,5,0,2,0,3,7,1,3
15,10920,1960,1960,733,1253,1253,0,1253,352,0,213,48.0,48,12737.0,1,2,157000,RL,No value,IR1,Lvl,1Fam,1Story,Hip,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,TA,No,BLQ,TA,Y,SBrkr,TA,Fa,Attchd,RFn,Y,No value,GdWo,WD,Normal,20,6,5,1,1,1,2,5,1,1
16,6120,1929,2001,0,832,854,0,854,576,48,112,16.0,78,7550.0,0,1,132000,RM,No value,Reg,Lvl,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,TA,No,Unf,Ex,Y,FuseA,TA,No value,Detchd,Unf,Y,No value,GdPrv,WD,Normal,45,7,8,0,1,0,2,5,0,2
17,11241,1970,1970,578,1004,1004,0,1004,480,0,0,40.0,40,12905.0,1,1,149000,RL,No value,IR1,Lvl,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,ALQ,Ex,Y,SBrkr,TA,TA,Attchd,Fin,Y,No value,No value,WD,Normal,20,6,7,1,1,0,2,5,1,2
18,10791,1967,1967,0,0,1296,0,1296,516,0,0,39.0,39,12603.0,0,2,90000,RL,No value,Reg,Lvl,Duplex,1Story,Gable,MetalSd,MetalSd,None,TA,Slab,No value,No value,No value,No value,TA,Y,SBrkr,TA,No value,CarPort,Unf,Y,No value,No value,WD,Normal,90,4,5,0,2,0,2,6,0,2
19,13695,2004,2004,646,1114,1114,0,1114,576,0,102,4.0,4,15385.0,0,2,159000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,PConc,TA,TA,No,GLQ,Ex,Y,SBrkr,Gd,No value,Detchd,Unf,Y,No value,No value,WD,Normal,20,5,5,1,1,1,3,6,0,2
20,7560,1958,1965,504,1029,1339,0,1339,294,0,0,51.0,51,9193.0,0,1,139000,RL,No value,Reg,Lvl,1Fam,1Story,Hip,BrkFace,Plywood,None,TA,CBlock,TA,TA,No,LwQ,TA,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,MnPrv,COD,Abnorml,20,5,6,0,1,0,3,6,0,1
21,14215,2005,2006,0,1158,1158,1218,2376,853,240,154,1.0,1,17824.0,1,4,325300,RL,No value,IR1,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,Gd,BuiltIn,RFn,Y,No value,No value,New,Partial,60,8,5,0,3,1,4,9,1,3
22,7449,1930,1950,0,637,1108,0,1108,280,0,0,77.0,77,8837.0,1,1,139400,RM,Grvl,Reg,Bnk,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,PConc,TA,TA,No,Unf,Ex,Y,FuseF,Gd,Gd,Attchd,Unf,N,No value,GdPrv,WD,Normal,45,7,7,0,1,0,3,6,1,1
23,9742,2002,2002,0,1777,1795,0,1795,534,171,159,6.0,6,12352.0,1,2,230000,RL,No value,Reg,Lvl,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,0,2,0,3,7,1,2
24,4224,1976,1976,840,1040,1060,0,1060,572,100,110,31.0,31,5856.0,1,1,129900,RM,No value,Reg,Lvl,TwnhsE,1Story,Gable,CemntBd,CmentBd,None,TA,PConc,Gd,TA,No,GLQ,TA,Y,SBrkr,TA,TA,Attchd,Unf,Y,No value,No value,WD,Normal,120,5,7,1,1,0,3,6,1,2
25,8246,1968,2001,188,1060,1060,0,1060,270,406,90,42.0,42,9576.0,1,1,154000,RL,No value,IR1,Lvl,1Fam,1Story,Gable,Plywood,Plywood,None,TA,CBlock,TA,TA,Mn,Rec,Ex,Y,SBrkr,Gd,TA,Attchd,Unf,Y,No value,MnPrv,WD,Normal,20,5,8,1,1,0,3,6,1,1
26,14230,2007,2007,0,1566,1600,0,1600,890,0,56,2.0,2,17360.0,1,2,256300,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,0,2,0,3,7,1,3
27,7200,1951,2000,234,900,900,0,900,576,222,32,5.0,59,8676.0,0,1,134800,RL,No value,Reg,Lvl,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,Mn,BLQ,TA,Y,SBrkr,Gd,No value,Detchd,Unf,Y,No value,No value,WD,Normal,20,5,7,0,1,0,3,5,0,2
28,11478,2007,2008,1218,1704,1704,0,1704,772,0,50,2.0,3,14154.0,1,2,306000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,1,2,0,3,7,1,3
29,16321,1957,1997,1277,1484,1600,0,1600,319,288,258,49.0,49,18240.0,1,1,207500,RL,No value,IR1,Lvl,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,CBlock,TA,TA,Gd,BLQ,TA,Y,SBrkr,TA,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,5,6,1,1,0,2,6,2,1
30,6324,1927,1950,0,520,520,0,520,240,49,0,88.0,81,7084.0,0,1,68500,RM,No value,IR1,Lvl,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,Unf,Fa,N,SBrkr,Fa,No value,Detchd,Unf,Y,No value,No value,WD,Normal,30,4,6,0,1,0,1,4,0,1
31,8500,1920,1950,0,649,649,668,1317,250,0,54,88.0,88,10067.0,0,1,40000,C (all),Pave,Reg,Lvl,1Fam,2Story,Gambrel,BrkFace,BrkFace,None,TA,BrkTil,TA,TA,No,Unf,TA,N,SBrkr,TA,No value,Detchd,Unf,N,No value,MnPrv,WD,Normal,70,4,4,0,1,0,3,6,0,1
32,8544,1966,2006,0,1228,1228,0,1228,271,0,65,42.0,42,10043.0,0,2,149350,RL,No value,IR1,Lvl,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,Unf,Gd,Y,SBrkr,Gd,No value,Attchd,Unf,Y,No value,MnPrv,WD,Normal,20,5,6,0,1,1,3,6,0,1
33,11049,2007,2007,0,1234,1234,0,1234,484,0,30,1.0,1,12767.0,0,2,179900,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,0,2,0,3,7,0,2
34,10552,1959,1959,1018,1398,1700,0,1700,447,0,38,51.0,51,12699.0,1,2,165500,RL,No value,IR1,Lvl,1Fam,1Story,Hip,BrkFace,BrkFace,None,TA,CBlock,TA,TA,No,Rec,Gd,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,5,5,0,1,1,4,6,1,2
35,7313,2005,2005,1153,1561,1561,0,1561,556,203,47,2.0,2,9676.0,1,2,277500,RL,No value,Reg,Lvl,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,Gd,Attchd,Fin,Y,No value,No value,WD,Normal,120,9,5,1,2,0,2,6,1,2
36,13418,2004,2005,0,1117,1132,1320,2452,691,113,32,2.0,2,16693.0,1,4,309000,RL,No value,Reg,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,Gd,BuiltIn,Fin,Y,No value,No value,WD,Normal,60,8,5,0,3,1,4,9,1,3
37,10859,1994,1995,0,1097,1097,0,1097,672,392,64,14.0,15,12628.0,0,2,145000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,No value,WD,Normal,20,5,5,0,1,1,3,6,0,2
38,8532,1954,1990,1213,1297,1297,0,1297,498,0,0,55.0,55,10977.0,1,1,153000,RL,No value,Reg,Lvl,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,Rec,Gd,Y,SBrkr,TA,TA,Attchd,Fin,Y,No value,No value,WD,Normal,20,5,6,0,1,0,3,5,1,2
39,7922,1953,2007,731,1057,1057,0,1057,246,0,52,57.0,57,9225.0,0,1,109000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,GLQ,TA,Y,SBrkr,Gd,No value,Detchd,Unf,Y,No value,No value,WD,Abnorml,20,5,7,1,1,0,3,5,0,1
40,6040,1955,1955,0,0,1152,0,1152,0,0,0,,53,7192.0,0,2,82000,RL,No value,Reg,Lvl,Duplex,1Story,Gable,AsbShng,Plywood,None,TA,PConc,No value,No value,No value,No value,TA,N,FuseP,Fa,No value,No value,No value,N,No value,No value,WD,other,90,4,5,0,2,0,2,6,0,0
41,8658,1965,1965,643,1088,1324,0,1324,440,0,138,41.0,41,10523.0,1,2,160000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,Rec,Ex,Y,SBrkr,TA,TA,Attchd,RFn,Y,No value,GdWo,WD,Abnorml,20,6,5,0,2,0,3,6,1,2
42,16905,1959,1959,967,1350,1328,0,1328,308,0,104,48.0,48,18541.0,1,2,170000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,CBlock,TA,TA,Gd,BLQ,Gd,Y,SBrkr,TA,Gd,Attchd,RFn,P,No value,No value,WD,Normal,20,5,6,0,1,1,2,5,2,1
43,9180,1983,1983,747,840,884,0,884,504,240,0,24.0,24,10568.0,0,1,144000,RL,No value,IR1,Lvl,1Fam,SFoyer,Gable,HdBoard,HdBoard,None,TA,CBlock,Gd,TA,Av,ALQ,Gd,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,MnPrv,WD,Normal,85,5,7,1,1,0,2,5,0,2
44,9200,1975,1980,280,938,938,0,938,308,145,0,31.0,33,10446.0,0,1,130250,RL,No value,IR1,Lvl,1Fam,1Story,Hip,VinylSd,VinylSd,None,TA,CBlock,Gd,TA,Av,LwQ,TA,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,MnPrv,WD,Normal,20,5,6,1,1,0,3,5,0,1
45,7945,1959,1959,179,1150,1150,0,1150,300,0,0,47.0,47,9395.0,0,1,141000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,BrkFace,Wd Sdng,None,TA,CBlock,TA,TA,No,ALQ,Ex,Y,FuseA,TA,No value,Attchd,RFn,Y,No value,No value,WD,Normal,20,5,6,1,1,0,3,6,0,1
46,7658,2005,2005,456,1752,1752,0,1752,576,196,82,5.0,5,10398.0,1,2,319900,RL,No value,Reg,Lvl,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,120,9,5,1,2,0,2,6,1,2
47,12822,2003,2003,1351,1434,1518,631,2149,670,168,43,6.0,6,15641.0,1,2,239686,RL,No value,IR1,Lvl,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,Gd,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Gd,Ex,Attchd,RFn,Y,No value,No value,WD,Abnorml,50,7,5,1,1,1,1,6,1,2
48,11096,2006,2006,24,1656,1656,0,1656,826,0,146,1.0,1,13578.0,0,2,249700,FV,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,0,2,0,3,7,0,3
49,4456,1920,2008,0,736,736,716,1452,0,0,0,,89,5908.0,0,2,113000,RM,No value,Reg,Lvl,2fmCon,2Story,Gable,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,Unf,Gd,Y,SBrkr,TA,No value,No value,No value,N,No value,No value,New,Partial,190,4,5,0,2,0,2,8,0,0
50,7742,1966,1966,763,955,955,0,955,386,0,0,41.0,41,9083.0,0,1,127000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,BLQ,Ex,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,MnPrv,WD,Normal,20,5,7,1,1,0,3,6,0,1
51,13869,1997,1997,182,794,794,676,1470,388,0,75,10.0,10,15727.0,0,2,177000,RL,No value,IR2,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,PConc,Gd,TA,Av,GLQ,Gd,Y,SBrkr,TA,No value,Attchd,Fin,Y,No value,No value,WD,Normal,60,6,6,0,2,0,3,6,0,2
52,6240,1934,1950,0,816,816,0,1176,528,112,0,21.0,72,7944.0,1,1,114500,RM,No value,Reg,Lvl,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,PConc,TA,TA,No,Unf,TA,Y,SBrkr,TA,Gd,Detchd,Unf,Y,No value,MnPrv,WD,Normal,50,6,6,0,1,0,3,6,1,2
53,8472,1963,1963,104,816,816,0,816,516,106,0,47.0,47,9804.0,0,1,110000,RM,No value,IR2,Bnk,Duplex,1Story,Gable,Wd Sdng,Wd Sdng,None,Fa,CBlock,Gd,TA,Gd,LwQ,TA,N,SBrkr,TA,No value,CarPort,Unf,Y,No value,No value,WD,Normal,90,5,5,1,1,0,2,5,0,2
54,50271,1981,1987,1810,1842,1842,0,1842,894,857,72,25.0,25,53007.0,1,1,385000,RL,No value,IR1,Low,1Fam,1Story,Gable,WdShing,Wd Shng,None,Gd,CBlock,Ex,TA,Gd,GLQ,Gd,Y,SBrkr,Gd,Gd,Attchd,Fin,Y,No value,No value,WD,Normal,20,9,5,2,0,1,0,5,1,3
55,7134,1955,1955,384,384,1360,0,1360,572,0,50,45.0,52,9066.0,1,1,130000,RL,No value,Reg,Bnk,1Fam,SLvl,Gable,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,ALQ,TA,Y,SBrkr,TA,TA,Detchd,Unf,Y,No value,MnPrv,WD,Normal,80,5,5,0,1,0,3,6,1,2
56,10175,1964,1964,490,1425,1425,0,1425,576,0,0,44.0,44,12448.0,1,2,180500,RL,No value,IR1,Lvl,1Fam,1Story,Gable,HdBoard,Plywood,BrkFace,TA,CBlock,TA,TA,No,BLQ,Gd,Y,SBrkr,TA,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,6,5,0,2,0,3,7,1,2
57,2645,1999,2000,649,970,983,756,1739,480,115,0,10.0,10,5320.0,0,3,172500,FV,Pave,Reg,Lvl,Twnhs,2Story,Gable,MetalSd,MetalSd,BrkFace,Gd,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,No value,Attchd,Fin,Y,No value,No value,WD,Abnorml,160,8,5,1,2,1,3,7,0,2
58,11645,2004,2004,0,860,860,860,1720,565,0,70,2.0,2,13930.0,0,3,196500,RL,No value,IR1,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,No value,WD,Normal,60,7,5,0,2,1,3,7,0,2
59,13682,2006,2006,0,1410,1426,1519,2945,641,192,0,0.0,0,18299.0,1,4,438780,RL,No value,IR2,HLS,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Ex,PConc,Ex,TA,Gd,Unf,Ex,Y,SBrkr,Gd,Gd,BuiltIn,Fin,Y,No value,No value,New,Partial,60,10,5,0,3,1,3,10,1,3
60,7200,1972,1972,632,780,780,0,780,352,196,0,35.0,36,8332.0,0,1,124900,RL,No value,Reg,Bnk,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,CBlock,TA,TA,Av,ALQ,Ex,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,MnPrv,WD,Normal,20,5,7,0,1,0,2,4,0,1
61,13072,2004,2004,941,1158,1158,0,1158,576,0,50,0.0,2,14806.0,0,2,158000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,ALQ,Ex,Y,SBrkr,Gd,No value,Detchd,Unf,Y,No value,No value,New,Partial,20,6,5,1,1,1,3,5,0,2
62,7200,1920,1996,0,530,581,530,1111,288,0,0,72.0,87,8599.0,0,1,101000,RM,No value,Reg,Lvl,1Fam,2.5Unf,Gable,MetalSd,MetalSd,None,TA,BrkTil,TA,Fa,No,Unf,TA,N,SBrkr,Fa,No value,Detchd,Unf,N,No value,No value,WD,Normal,75,5,7,0,1,0,3,6,0,1
63,6442,2006,2006,24,1370,1370,0,1370,484,120,49,1.0,1,8474.0,1,2,202500,RL,No value,IR1,Lvl,TwnhsE,1Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Gd,Gd,Mn,GLQ,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,120,8,5,0,2,0,2,6,1,2
64,10300,1921,1950,0,576,902,808,1710,480,12,11,20.0,89,12490.0,0,2,140000,RM,No value,IR1,Bnk,1Fam,2Story,Gable,Stucco,Stucco,None,TA,BrkTil,TA,TA,No,Unf,Gd,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,GdPrv,WD,Normal,70,7,6,0,2,0,3,9,0,2
65,9375,1997,1998,739,1057,1057,977,2034,645,576,36,11.0,12,12627.0,0,3,219500,RL,No value,Reg,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,GdPrv,WD,Normal,60,7,5,1,2,1,3,8,0,2
66,9591,2004,2005,0,1143,1143,1330,2473,852,192,151,3.0,3,13260.0,1,3,317000,RL,No value,Reg,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,Gd,BuiltIn,RFn,Y,No value,No value,WD,Normal,60,8,5,0,2,1,4,9,1,3
67,19900,1970,1989,912,1947,2207,0,2207,576,301,0,40.0,40,22970.0,1,2,180000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Gd,GLQ,TA,Y,SBrkr,TA,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,7,5,1,2,0,3,7,1,2
68,10665,2003,2003,1013,1453,1479,0,1479,558,144,29,4.0,4,12869.0,0,2,226000,RL,No value,IR1,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,No value,WD,Normal,20,7,5,1,2,0,3,7,0,2
69,4608,1945,1950,0,747,747,0,747,220,0,0,65.0,65,5575.0,0,1,80000,RM,No value,Reg,Lvl,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,Unf,TA,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,No value,WD,Normal,30,4,6,0,1,0,2,4,0,1
70,15593,1953,1953,603,1304,1304,983,2287,667,0,21,53.0,53,18547.0,1,2,225000,RL,No value,Reg,Lvl,1Fam,1.5Fin,Gable,BrkFace,AsbShng,None,Gd,CBlock,TA,TA,No,BLQ,TA,Y,SBrkr,TA,TA,Attchd,Fin,Y,No value,No value,WD,Normal,50,7,4,0,2,0,3,7,1,2
71,13651,1973,1973,1880,2223,2223,0,2223,516,300,0,34.0,34,17505.0,1,2,244000,RL,No value,IR1,Lvl,1Fam,1Story,Gable,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Gd,ALQ,Ex,Y,SBrkr,TA,Gd,Attchd,Fin,Y,No value,No value,WD,Normal,20,7,6,1,2,0,3,8,2,2
72,7599,1982,2006,565,845,845,0,845,360,0,0,20.0,25,8804.0,0,1,129500,RL,No value,Reg,Lvl,1Fam,1Story,Gable,HdBoard,Plywood,None,TA,CBlock,TA,TA,No,ALQ,TA,Y,SBrkr,TA,No value,Detchd,Unf,Y,No value,No value,WD,Normal,20,4,6,1,1,0,2,4,0,2
73,10141,1998,1998,0,832,885,833,1718,427,0,94,11.0,11,12326.0,1,3,185000,RL,No value,IR1,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,TA,No,Unf,Gd,Y,SBrkr,TA,TA,Attchd,Fin,Y,No value,No value,WD,Normal,60,7,5,0,2,1,3,7,1,2
74,10200,1954,2003,320,1086,1086,0,1086,490,0,0,21.0,56,11880.0,0,1,144900,RL,No value,Reg,Lvl,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,ALQ,Gd,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,GdWo,WD,Normal,20,5,7,1,1,0,3,6,0,2
